Sample_Label,Sample_Number,Sample_type,Identification,Phylum,Depth,Invasive_Native,Calcification,Morphological_Complexity,Zone,Location
Mi.se-1.5-2,77,Algae,Microdictyon setchellianum,Chlorophyta,1.5,Native ,Uncalcified,Coarse mesh ,Shallow Subtidal,H
Mi.se-1.5-3,78,Algae,Microdictyon setchellianum,Chlorophyta,1.5,Native ,Uncalcified,Coarse mesh ,Shallow Subtidal,H
Mi.se-27-1,16,Algae,Microdictyon setchellianum,Chlorophyta,27,Native ,Uncalcified,Coarse mesh ,Subtidal,A
Mi.se-27-2,17,Algae,Microdictyon setchellianum,Chlorophyta,27,Native ,Uncalcified,Coarse mesh ,Subtidal,A
Mi.se-27-3,18,Algae,Microdictyon setchellianum,Chlorophyta,27,Native ,Uncalcified,Coarse mesh ,Subtidal,A
Mi.se-13-1,25,Algae,Microdictyon setchellianum,Chlorophyta,13,Native ,Uncalcified,Coarse mesh ,Subtidal,B
Mi.se-13-2,26,Algae,Microdictyon setchellianum,Chlorophyta,13,Native ,Uncalcified,Coarse mesh ,Subtidal,B
Mi.se-13-3,27,Algae,Microdictyon setchellianum,Chlorophyta,13,Native ,Uncalcified,Coarse mesh ,Subtidal,B
Ne.an-1.5.1,83,Algae,Neomeris annulate,Chlorophyta,1.5,Native ,Calcified,Club-shaped,Shallow Subtidal,H
Ne.an-1.5.2,84,Algae,Neomeris annulate,Chlorophyta,1.5,Native ,Calcified,Club-shaped,Shallow Subtidal,H
Pa.mo-55-1,52,Algae,Padina moffitiana,Ochrophyta,55,Native ,Lightly Calcified,Fan-shaped,Upper Mesophotic,E
Pa.mo-55-2,53,Algae,Padina moffitiana,Ochrophyta,55,Native ,Lightly Calcified,Fan-shaped,Upper Mesophotic,E
Pa.mo-55-3,54,Algae,Padina moffitiana,Ochrophyta,55,Native ,Lightly Calcified,Fan-shaped,Upper Mesophotic,E
Pa.sp-58-1,61,Algae,Padina sp.,Ochrophyta,58,Native ,Lightly Calcified,Fan-shaped,Upper Mesophotic,F
Pa.sp-58-2,62,Algae,Padina sp.,Ochrophyta,58,Native ,Lightly Calcified,Fan-shaped,Upper Mesophotic,F
Pa.sp-58-3,63,Algae,Padina sp.,Ochrophyta,58,Native ,Lightly Calcified,Fan-shaped,Upper Mesophotic,F
Um.ka-75-1,70,Algae,Umbraulva kaloakulau,Chlorophyta,75,Native ,Uncalcified,Distromatic blade,Lower Mesophotic,G
Um.ka-75-2,71,Algae,Umbraulva kaloakulau,Chlorophyta,75,Native ,Uncalcified,Distromatic blade,Lower Mesophotic,G
Um.ka-75-3,72,Algae,Umbraulva kaloakulau,Chlorophyta,75,Native ,Uncalcified,Distromatic blade,Lower Mesophotic,G
Di.ce-55-1,49,Algae,Dictyota ceylanica,Ochrophyta,55,Native ,Uncalcified,Flattened dichotomous branches,Upper Mesophotic,E
Di.ce-55-2,50,Algae,Dictyota ceylanica,Ochrophyta,55,Native ,Uncalcified,Flattened dichotomous branches,Upper Mesophotic,E
Di.ce-55-3,51,Algae,Dictyota ceylanica,Ochrophyta,55,Native ,Uncalcified,Flattened dichotomous branches,Upper Mesophotic,E
Ga.in-55-1,34,Algae,Galaxaura indica,Rhodophyta,55,Native ,Calcified,Flattened dichotomously branches,Upper Mesophotic,C
Ga.in-55-2,35,Algae,Galaxaura indica,Rhodophyta,55,Native ,Calcified,Flattened dichotomously branches,Upper Mesophotic,C
Ga.in-55-3,36,Algae,Galaxaura indica,Rhodophyta,55,Native ,Calcified,Flattened dichotomously branches,Upper Mesophotic,C
Gr.sp-75-1,73,Algae,Gracilaria sp. ,Rhodophyta,75,Native ,Uncalcified,Unbranched,Lower Mesophotic,G
Gr.sp-75-2,74,Algae,Gracilaria sp. ,Rhodophyta,75,Native ,Uncalcified,Unbranched,Lower Mesophotic,G
Gr.sp-75-3,75,Algae,Gracilaria sp. ,Rhodophyta,75,Native ,Uncalcified,Unbranched ,Lower Mesophotic,G
La.de-2-1,40,Algae,Laurencia dendroidea,Rhodophyta,2,Native ,Uncalcified,Erect distichous branches,Shallow Subtidal,D
La.de-2-2,41,Algae,Laurencia dendroidea,Rhodophyta,2,Native ,Uncalcified,Erect distichous branches,Shallow Subtidal,D
La.de-2-3,42,Algae,Laurencia dendroidea,Rhodophyta,2,Native ,Uncalcified,Erect distichous branches,Shallow Subtidal,D
Sy.sp-22.5-1,94,Algae,Symphyocladia sp.,Rhodophyta,22.5,Native ,Uncalcified,Erect distichous branches,Subtidal,H
Sy.sp-22.5-2,95,Algae,Symphyocladia sp.,Rhodophyta,22.5,Native ,Uncalcified,Erect distichous branches,Subtidal,H
Sy.sp-22.5-3,96,Algae,Symphyocladia sp.,Rhodophyta,22.5,Native ,Uncalcified,Erect distichous branches,Subtidal,H
Mi.se-22.5-1,91,Algae,Microdictyon setchellianum,Chlorophyta,22.5,Native ,Uncalcified,Coarse mesh ,Subtidal,H
Mi.se-22.5-2,92,Algae,Microdictyon setchellianum,Chlorophyta,22.5,Native ,Uncalcified,Coarse mesh ,Subtidal,H
Mi.se-22.5-3,93,Algae,Microdictyon setchellianum,Chlorophyta,22.5,Native ,Uncalcified,Coarse mesh ,Subtidal,H
Mi.se-58-1,58,Algae,Microdictyon setchellianum,Chlorophyta,58,Native ,Uncalcified,Coarse mesh ,Upper Mesophotic,F
Mi.se-58-2,59,Algae,Microdictyon setchellianum,Chlorophyta,58,Native ,Uncalcified,Coarse mesh ,Upper Mesophotic,F
Mi.se-58-3,60,Algae,Microdictyon setchellianum,Chlorophyta,58,Native ,Uncalcified,Coarse mesh ,Upper Mesophotic,F
Mi.se-55-1,31,Algae,Microdictyon setchellianum,Chlorophyta,55,Native ,Uncalcified,Coarse mesh ,Upper Mesophotic,C
Mi.se-55-2,32,Algae,Microdictyon setchellianum,Chlorophyta,55,Native ,Uncalcified,Coarse mesh ,Upper Mesophotic,C
Mi.se-55-3,33,Algae,Microdictyon setchellianum,Chlorophyta,55,Native ,Uncalcified,Coarse mesh ,Upper Mesophotic,C
Sp.do-58-1,64,Algae,Sporochnus dotyi,Ochrophyta,58,Native ,Uncalcified,Alternately branched,Upper Mesophotic,F
Sp.do-58-2,65,Algae,Sporochnus dotyi,Ochrophyta,58,Native ,Uncalcified,Alternately branched,Upper Mesophotic,F
Sp.do-58-3,66,Algae,Sporochnus dotyi,Ochrophyta,58,Native ,Uncalcified,Alternately branched,Upper Mesophotic,F
Wa-1.5-10,WC10,Water control,Seawater,Seawater,1.5,na,na,na,Shallow Subtidal,H
Wa-2-7,WC7,Water Control,Seawater,Seawater,2,na,na,na,Shallow Subtidal,D
Wa-13-5,WC5,Water Control,Seawater,Seawater,13,na,na,na,Subtidal,B
Wa-22.5-12,WC12,Water control,Seawater,Seawater,22.5,na,na,na,Subtidal,I
Wa-27-4,WC4,Water Control,Seawater,Seawater,27,na,na,na,Subtidal,A
Wa-55-6,WC6,Water Control,Seawater,Seawater,55,na,na,na,Upper Mesophotic,C
Wa-55-8,WC8,Water Control,Seawater,Seawater,55,na,na,na,Upper Mesophotic,E
Wa-58-9,WC9,Water Control,Seawater,Seawater,58,na,na,na,Upper Mesophotic,F
Wa-75-11,WC11,Water Control,Seawater,Seawater,75,na,na,na,Lower Mesophotic,G
Wa-55-1,WC,Water control,Seawater,Seawater,55,na,na,na,Upper Mesophotic,NA
Ha.ve-13-1,22,Algae,Halimeda velasquezii,Chlorophyta,13,Native ,Calcified,Flattened segments,Subtidal,B
Ha.ve-13-2,23,Algae,Halimeda velasquezii,Chlorophyta,13,Native ,Calcified,Flattened segments,Subtidal,B
Ha.ve-13-3,24,Algae,Halimeda velasquezii,Chlorophyta,13,Native ,Calcified,Flattened segments,Subtidal,B
Ha.ve-2-1,46,Algae,Halimeda velasquezii,Chlorophyta,2,Native ,Calcified,Flattened segments,Shallow Subtidal,D
Ha.ve-2-2,47,Algae,Halimeda velasquezii,Chlorophyta,2,Native ,Calcified,Flattened segments,Shallow Subtidal,D
Ha.ve-2-3,48,Algae,Halimeda velasquezii,Chlorophyta,2,Native ,Calcified,Flattened segments,Shallow Subtidal,D
Ch.tu-13-1,28,Algae,Chondria tumulosa,Rhodophyta,13,Invasive,Uncalcified,Terete branches ,Subtidal,B
Ch.tu-13-2,29,Algae,Chondria tumulosa,Rhodophyta,13,Invasive,Uncalcified,Terete branches ,Subtidal,B
Ch.tu-13-3,30,Algae,Chondria tumulosa,Rhodophyta,13,Invasive,Uncalcified,Terete branches ,Subtidal,B
Ch.tu-2-1,43,Algae,Chondria tumulosa,Rhodophyta,2,Invasive,Uncalcified,Terete branches ,Shallow Subtidal,D
Ch.tu-2-2,44,Algae,Chondria tumulosa,Rhodophyta,2,Invasive,Uncalcified,Terete branches ,Shallow Subtidal,D
Ch.tu-2-3,45,Algae,Chondria tumulosa,Rhodophyta,2,Invasive,Uncalcified,Terete branches ,Shallow Subtidal,D
